building	station	walk_min	address	rent_man	layout	area_sqm	url
GRANPARK西落合101	西武池袋線/東長崎	9	東京都新宿区西落合４	9.2	1K	25.04	https://suumo.jp/chintai/bc_100478606642/
エクセリア西荻窪202	ＪＲ中央線/西荻窪	4	東京都杉並区西荻南３	6.9	1K	19.88	https://suumo.jp/chintai/bc_100481614813/
ボヌール南長崎303	都営大江戸線/落合南長崎	8	東京都豊島区南長崎２	8.5	1K	26.24	https://suumo.jp/chintai/bc_100485721149/
NOXG	東京メトロ千代田線/代々木上原	7	東京都渋谷区西原１	11.9	ワンルーム	21.29	https://suumo.jp/chintai/bc_100485718835/
ＵＵＲコート錦糸町311	ＪＲ総武線/錦糸町	8	東京都江東区亀戸１	8.25	1K	25.02	https://suumo.jp/chintai/bc_100480980856/
パルテール301	京王線/八幡山	5	東京都世田谷区上北沢４	8.6	1K	22.77	https://suumo.jp/chintai/bc_100478762433/
ベルウッド両国503	ＪＲ総武線/両国	8	東京都墨田区両国１	8.2	1K	23.4	https://suumo.jp/chintai/bc_100481810092/
NOXG	東京メトロ千代田線/代々木上原	7	東京都渋谷区西原１	11.9	ワンルーム	21.29	https://suumo.jp/chintai/bc_100485718835/
ファインズコート北新宿202	ＪＲ総武線/東中野	6	東京都新宿区北新宿４	8.5	ワンルーム	21	https://suumo.jp/chintai/bc_100497230371/
ｒｅｖｅｕｒ　ＹＯＧＡ201	東急田園都市線/用賀	4	東京都世田谷区玉川台１	8.4	1K	22.93	https://suumo.jp/chintai/bc_100480145911/
パルテール301	京王線/八幡山	5	東京都世田谷区上北沢４	8.6	1K	22.77	https://suumo.jp/chintai/bc_100478762433/
ティロワ0201	東京メトロ丸ノ内線/新高円寺	6	東京都杉並区梅里２	10.5	1K	28.8	https://suumo.jp/chintai/bc_100479388689/
フェリーチェ東高円寺III103	東京メトロ丸ノ内線/東高円寺	6	東京都中野区本町６	7.9	1K	20.48	https://suumo.jp/chintai/bc_100485720999/
VIVACE301	京王線/代田橋	6	東京都杉並区和泉１	9.3	1K	30	https://suumo.jp/chintai/bc_100493621819/
パルテール301	京王線/八幡山	5	東京都世田谷区上北沢４	8.6	1K	22.77	https://suumo.jp/chintai/bc_100478762433/
